MatchDate,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,HomeShots,AwayShots,HomeTarget,AwayTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellow,AwayYellow,HomeRed,AwayRed,Form5Home,Form5Away,OddHome,OddDraw,OddAway,HomeElo,AwayElo,GoalDiff,Favorite,Upset,EloDiff,HomePrecision,AwayPrecision
2000-09-16,Everton,Man United,1.0,3.0,A,0.0,3.0,A,6.0,17.0,4.0,9.0,10.0,11.0,6.0,5.0,4.0,1.0,0.0,0.0,7.0,11.0,4.4,3.4,1.66,1693.42,1937.58,-2.0,Man United,False,-244.2,0.67,0.53
2000-09-16,Leeds,Ipswich,1.0,2.0,A,1.0,1.0,D,11.0,12.0,6.0,7.0,12.0,19.0,6.0,3.0,1.0,3.0,0.0,0.0,9.0,4.0,1.35,3.9,8.0,1785.82,1636.43,-1.0,Leeds,True,149.4,0.55,0.58
2000-09-16,Southampton,Newcastle,2.0,0.0,H,0.0,0.0,D,13.0,10.0,9.0,7.0,14.0,14.0,4.0,8.0,0.0,0.0,0.0,0.0,3.0,10.0,2.75,3.35,2.2,1627.15,1736.89,2.0,Newcastle,True,-109.7,0.69,0.7
2000-09-16,Sunderland,Derby,2.0,1.0,H,1.0,0.0,H,15.0,10.0,8.0,5.0,16.0,28.0,4.0,5.0,2.0,3.0,0.0,0.0,4.0,4.0,1.65,3.4,4.1,1699.63,1634.43,1.0,Sunderland,False,65.2,0.53,0.5
2000-09-17,Chelsea,Leicester,0.0,2.0,A,0.0,1.0,A,16.0,7.0,10.0,5.0,16.0,17.0,15.0,3.0,3.0,1.0,0.0,0.0,6.0,11.0,1.45,3.65,6.2,1795.23,1710.04,-2.0,Chelsea,True,85.2,0.62,0.71
2000-09-17,Man City,Middlesbrough,1.0,1.0,D,0.0,0.0,D,11.0,4.0,4.0,2.0,15.0,11.0,9.0,3.0,2.0,5.0,0.0,0.0,6.0,5.0,2.1,3.3,2.9,1591.82,1678.09,0.0,Man City,False,-86.3,0.36,0.5
2000-09-17,West Ham,Liverpool,1.0,1.0,D,0.0,1.0,A,15.0,7.0,4.0,2.0,5.0,13.0,9.0,0.0,0.0,2.0,0.0,0.0,2.0,10.0,3.0,3.3,2.0,1674.21,1780.15,0.0,Liverpool,False,-105.9,0.27,0.29
2000-09-23,Bradford,Southampton,0.0,1.0,A,0.0,1.0,A,14.0,6.0,6.0,4.0,14.0,18.0,7.0,5.0,3.0,1.0,0.0,0.0,5.0,5.0,2.05,3.2,3.1,1601.23,1627.15,-1.0,Bradford,True,-25.9,0.43,0.67
2000-09-23,Coventry,West Ham,0.0,3.0,A,0.0,2.0,A,9.0,12.0,2.0,10.0,12.0,11.0,5.0,6.0,0.0,1.0,0.0,0.0,7.0,3.0,2.2,3.15,2.85,1637.76,1674.21,-3.0,Coventry,True,-36.5,0.22,0.83
2000-09-23,Derby,Leeds,1.0,1.0,D,0.0,1.0,A,13.0,16.0,7.0,6.0,17.0,15.0,7.0,4.0,2.0,2.0,1.0,0.0,3.0,7.0,2.75,3.05,2.25,1634.43,1785.82,0.0,Leeds,False,-151.4,0.54,0.38
2000-09-23,Ipswich,Arsenal,1.0,1.0,D,0.0,0.0,D,17.0,10.0,6.0,4.0,8.0,13.0,4.0,7.0,1.0,2.0,0.0,0.0,7.0,11.0,4.2,3.25,1.75,1636.43,1878.72,0.0,Arsenal,False,-242.3,0.35,0.4
2000-09-23,Liverpool,Sunderland,1.0,1.0,D,1.0,1.0,D,11.0,8.0,6.0,3.0,14.0,18.0,12.0,3.0,2.0,2.0,0.0,0.0,8.0,4.0,1.33,4.1,7.5,1780.15,1699.63,0.0,Liverpool,False,80.5,0.55,0.38
2000-09-23,Man United,Chelsea,3.0,3.0,D,3.0,2.0,H,11.0,13.0,5.0,5.0,15.0,19.0,8.0,4.0,3.0,2.0,0.0,0.0,11.0,3.0,1.55,3.5,5.1,1937.58,1795.23,0.0,Man United,False,142.3,0.45,0.38
2000-09-23,Middlesbrough,Aston Villa,1.0,1.0,D,0.0,0.0,D,12.0,15.0,5.0,7.0,7.0,14.0,5.0,5.0,3.0,0.0,0.0,0.0,3.0,8.0,2.3,3.35,2.6,1678.09,1734.83,0.0,Middlesbrough,False,-56.7,0.42,0.47
2000-09-23,Newcastle,Charlton,0.0,1.0,A,0.0,1.0,A,12.0,4.0,5.0,2.0,14.0,10.0,4.0,7.0,1.0,2.0,0.0,0.0,10.0,5.0,1.45,3.7,6.3,1736.89,1615.6,-1.0,Newcastle,True,121.3,0.42,0.5
2000-09-23,Tottenham,Man City,0.0,0.0,D,0.0,0.0,D,18.0,7.0,5.0,2.0,10.0,14.0,5.0,4.0,0.0,2.0,0.0,0.0,7.0,7.0,1.55,3.5,5.2,1695.88,1591.82,0.0,Tottenham,False,104.1,0.28,0.29
2000-09-24,Leicester,Everton,1.0,1.0,D,1.0,0.0,H,10.0,9.0,4.0,3.0,14.0,13.0,9.0,3.0,3.0,1.0,0.0,0.0,13.0,7.0,1.85,3.25,3.65,1710.04,1693.42,0.0,Leicester,False,16.6,0.4,0.33
2000-09-30,Aston Villa,Derby,4.0,1.0,H,2.0,0.0,H,12.0,11.0,7.0,6.0,0.0,1.0,6.0,6.0,1.0,1.0,0.0,0.0,8.0,4.0,1.5,3.45,5.3,1734.83,1634.43,3.0,Aston Villa,False,100.4,0.58,0.55
2000-09-30,Charlton,Coventry,2.0,2.0,D,0.0,1.0,A,12.0,10.0,8.0,6.0,8.0,16.0,6.0,6.0,1.0,2.0,0.0,0.0,8.0,4.0,1.8,3.3,3.7,1615.6,1637.76,0.0,Charlton,False,-22.2,0.67,0.6
2000-09-30,Everton,Ipswich,0.0,3.0,A,0.0,1.0,A,7.0,9.0,3.0,7.0,6.0,5.0,4.0,1.0,1.0,0.0,0.0,0.0,5.0,7.0,1.7,3.2,4.3,1693.42,1636.43,-3.0,Everton,True,57.0,0.43,0.78
2000-09-30,Leeds,Tottenham,4.0,3.0,H,0.0,1.0,A,14.0,10.0,7.0,5.0,11.0,20.0,6.0,4.0,0.0,2.0,0.0,0.0,5.0,7.0,1.66,3.4,4.2,1785.82,1695.88,1.0,Leeds,False,89.9,0.5,0.5
2000-09-30,Man City,Newcastle,0.0,1.0,A,0.0,0.0,D,9.0,15.0,7.0,9.0,16.0,12.0,10.0,8.0,0.0,1.0,0.0,0.0,5.0,7.0,2.4,3.3,2.5,1591.82,1736.89,-1.0,Man City,True,-145.1,0.78,0.6
2000-09-30,Southampton,Middlesbrough,1.0,3.0,A,0.0,2.0,A,16.0,7.0,8.0,5.0,6.0,22.0,6.0,6.0,2.0,2.0,0.0,0.0,8.0,3.0,2.15,3.2,2.85,1627.15,1678.09,-2.0,Southampton,True,-50.9,0.5,0.71
2000-09-30,West Ham,Bradford,1.0,1.0,D,1.0,0.0,H,14.0,9.0,6.0,6.0,14.0,10.0,7.0,2.0,3.0,2.0,0.0,0.0,6.0,2.0,1.5,3.55,6.1,1674.21,1601.23,0.0,West Ham,False,73.0,0.43,0.67
2000-10-01,Arsenal,Man United,1.0,0.0,H,1.0,0.0,H,7.0,13.0,5.0,4.0,18.0,17.0,3.0,11.0,2.0,3.0,0.0,0.0,9.0,11.0,2.55,3.2,2.45,1874.68,1911.11,1.0,Man United,True,-36.4,0.71,0.31
2000-10-01,Chelsea,Liverpool,3.0,0.0,H,2.0,0.0,H,11.0,10.0,5.0,2.0,14.0,14.0,3.0,1.0,1.0,1.0,0.0,0.0,4.0,9.0,2.0,3.3,3.15,1750.99,1766.23,3.0,Chelsea,False,-15.2,0.45,0.2
2000-10-01,Sunderland,Leicester,0.0,0.0,D,0.0,0.0,D,11.0,8.0,5.0,2.0,12.0,8.0,6.0,2.0,3.0,1.0,0.0,0.0,5.0,11.0,2.05,3.2,3.15,1697.5,1696.18,0.0,Sunderland,False,1.3,0.45,0.25
2000-10-14,Arsenal,Aston Villa,1.0,0.0,H,0.0,0.0,D,16.0,8.0,10.0,3.0,12.0,20.0,7.0,4.0,1.0,4.0,0.0,1.0,9.0,10.0,1.47,3.5,6.0,1874.68,1735.82,1.0,Arsenal,False,138.9,0.62,0.38
2000-10-14,Coventry,Tottenham,2.0,1.0,H,2.0,0.0,H,0.0,4.0,5.0,5.0,12.0,16.0,3.0,5.0,0.0,4.0,1.0,0.0,2.0,7.0,2.6,3.1,2.4,1612.02,1668.58,1.0,Tottenham,True,-56.6,,1.25
2000-10-14,Everton,Southampton,1.0,1.0,D,0.0,0.0,D,7.0,7.0,3.0,4.0,16.0,13.0,9.0,8.0,1.0,3.0,0.0,0.0,4.0,7.0,1.85,3.25,3.7,1661.2,1624.42,0.0,Everton,False,36.8,0.43,0.57
2000-10-14,Ipswich,West Ham,1.0,1.0,D,1.0,0.0,H,11.0,7.0,8.0,2.0,10.0,11.0,8.0,5.0,0.0,4.0,0.0,0.0,7.0,6.0,2.2,3.2,2.9,1661.99,1674.97,0.0,Ipswich,False,-13.0,0.73,0.29
2000-10-14,Leeds,Charlton,3.0,1.0,H,1.0,0.0,H,22.0,10.0,10.0,8.0,7.0,9.0,8.0,5.0,0.0,1.0,0.0,0.0,5.0,9.0,1.5,3.25,6.3,1779.3,1622.44,2.0,Leeds,False,156.9,0.45,0.8
2000-10-14,Leicester,Man United,0.0,3.0,A,0.0,1.0,A,10.0,16.0,4.0,5.0,8.0,11.0,6.0,7.0,0.0,0.0,0.0,0.0,11.0,10.0,3.7,3.3,1.85,1696.18,1911.11,-3.0,Man United,False,-214.9,0.4,0.31
2000-10-14,Man City,Bradford,2.0,0.0,H,2.0,0.0,H,13.0,10.0,10.0,2.0,10.0,16.0,5.0,6.0,0.0,2.0,0.0,0.0,5.0,2.0,1.7,3.35,4.2,1578.89,1581.61,2.0,Man City,False,-2.7,0.77,0.2
2000-10-14,Sunderland,Chelsea,1.0,0.0,H,0.0,0.0,D,16.0,11.0,11.0,2.0,12.0,18.0,5.0,0.0,0.0,1.0,1.0,1.0,6.0,6.0,3.05,3.05,2.15,1697.5,1750.99,1.0,Chelsea,True,-53.5,0.69,0.18
2000-10-15,Derby,Liverpool,0.0,4.0,A,0.0,1.0,A,6.0,16.0,0.0,11.0,18.0,13.0,4.0,3.0,1.0,1.0,0.0,0.0,3.0,8.0,3.3,3.2,1.95,1614.46,1754.64,-4.0,Liverpool,False,-140.2,0.0,0.69
2000-10-16,Middlesbrough,Newcastle,1.0,3.0,A,0.0,1.0,A,8.0,15.0,2.0,8.0,8.0,13.0,6.0,6.0,2.0,1.0,0.0,0.0,6.0,7.0,2.45,3.1,2.55,1679.42,1708.34,-2.0,Middlesbrough,True,-28.9,0.25,0.53
2000-10-21,Bradford,Ipswich,0.0,2.0,A,0.0,1.0,A,7.0,12.0,3.0,3.0,15.0,14.0,9.0,1.0,1.0,0.0,0.0,0.0,2.0,8.0,2.3,3.15,2.75,1572.81,1660.27,-2.0,Bradford,True,-87.5,0.43,0.25
